"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Dec 30 18:45:44 UTC 2025","Tue Dec 30 18:45:44 UTC 2025","5","API Test Suite","Rest Assured Tests","apiTest.ApiTest","apiTest.ApiTest","readMultipleProducts","readMultipleProducts",""
"broken","Tue Dec 30 18:45:44 UTC 2025","Tue Dec 30 18:45:44 UTC 2025","5","API Test Suite","Rest Assured Tests","apiTest.ApiTest","apiTest.ApiTest","readNestedArrayFields","readNestedArrayFields",""
"broken","Tue Dec 30 18:45:44 UTC 2025","Tue Dec 30 18:45:44 UTC 2025","5","API Test Suite","Rest Assured Tests","apiTest.ApiTest","apiTest.ApiTest","readWithDefaultValues","readWithDefaultValues",""
"passed","Tue Dec 30 18:45:47 UTC 2025","Tue Dec 30 18:45:48 UTC 2025","1442","API Test Suite","Rest Assured Tests","apiTest.GetOrgStudentTest","apiTest.GetOrgStudentTest","GetAllOrgStudent","GetAllOrgStudent",""
"broken","Tue Dec 30 18:45:44 UTC 2025","Tue Dec 30 18:45:44 UTC 2025","6","API Test Suite","Rest Assured Tests","apiTest.ApiTest","apiTest.ApiTest","practicalExReadandUse","practicalExReadandUse",""
"passed","Tue Dec 30 13:59:43 UTC 2025","Tue Dec 30 13:59:46 UTC 2025","2894","Default Suite","TestNGTest-6c192c2f-4879-4ccf-89cd-4a47393ff0da","apiTest.GetAfgReport","apiTest.GetAfgReport","testGetAfgReport","testGetAfgReport",""
"passed","Tue Dec 30 18:45:52 UTC 2025","Tue Dec 30 18:46:05 UTC 2025","13858","API Test Suite","Rest Assured Tests","apiTest.LSRReportTest","apiTest.LSRReportTest","testGetLsrReport","testGetLsrReport",""
"broken","Tue Dec 30 18:45:44 UTC 2025","Tue Dec 30 18:45:44 UTC 2025","6","API Test Suite","Rest Assured Tests","apiTest.ApiTest","apiTest.ApiTest","readSpecificRange","readSpecificRange",""
"broken","Tue Dec 30 18:45:44 UTC 2025","Tue Dec 30 18:45:44 UTC 2025","15","API Test Suite","Rest Assured Tests","apiTest.ApiTest","apiTest.ApiTest","method3_DirectExtraction","method3_DirectExtraction",""
"passed","Tue Dec 30 18:45:42 UTC 2025","Tue Dec 30 18:45:44 UTC 2025","1858","API Test Suite","Rest Assured Tests","apiTest.AfgReportTest","apiTest.AfgReportTest","testGetAfgReport","testGetAfgReport",""
"passed","Tue Dec 30 18:45:39 UTC 2025","Tue Dec 30 18:45:42 UTC 2025","2992","API Test Suite","Rest Assured Tests","apiTest.afg21Test","apiTest.afg21Test","testGetAfgReport","testGetAfgReport",""
"passed","Sun Dec 21 13:53:55 UTC 2025","Sun Dec 21 13:53:58 UTC 2025","3113","Default Suite","TestNGTest-f75fd744-2ded-41bc-83d7-5159dfe5a93e","apiTest.masteryPerformanceDetails","apiTest.masteryPerformanceDetails","testMasteryPerformanceDetails","testMasteryPerformanceDetails",""
"passed","Tue Dec 30 16:44:47 UTC 2025","Tue Dec 30 16:44:50 UTC 2025","2846","Default Suite","TestNGTest-b22ded83-2c16-473f-b5a9-7ad5bf60e74f","apiTest.afg21","apiTest.afg21","testGetAfgReport","testGetAfgReport",""
"passed","Tue Dec 30 17:07:34 UTC 2025","Tue Dec 30 17:07:37 UTC 2025","2997","Default Suite","TestNGTest-a57bc4be-dfaa-4bf4-9e81-b2876dcefde0","apiTest.GET_ASSIGNED_ASSIGNMENTS","apiTest.GET_ASSIGNED_ASSIGNMENTS","getAssignedAssignment","getAssignedAssignment",""
"passed","Tue Dec 30 18:45:50 UTC 2025","Tue Dec 30 18:45:52 UTC 2025","1569","API Test Suite","Rest Assured Tests","apiTest.GET_USAGEREPORTSTest","apiTest.GET_USAGEREPORTSTest","getAssignedAssignment","getAssignedAssignment",""
"broken","Mon Dec 29 17:04:08 UTC 2025","Mon Dec 29 17:04:08 UTC 2025","4","Default Suite","TestNGTest-41f7d694-d072-4e34-a4f4-d1cbb1036d46","apiTest.AssignmentsDetail","apiTest.AssignmentsDetail","setup","setup",""
"passed","Sat Nov 22 13:28:37 UTC 2025","Sat Nov 22 13:28:39 UTC 2025","2249","Default Suite","TestNGTest-c07f33d8-cb89-49a4-ae23-423997cb87c0","apiTest.Afg","apiTest.Afg","testGetAfgReport","testGetAfgReport",""
"unknown","Tue Dec 30 18:45:39 UTC 2025","Tue Dec 30 18:45:39 UTC 2025","1","API Test Suite","Rest Assured Tests","apiTest.ApiTest","apiTest.ApiTest","method1_usingPath","method1_usingPath",""
"broken","Tue Dec 30 18:45:44 UTC 2025","Tue Dec 30 18:45:44 UTC 2025","5","API Test Suite","Rest Assured Tests","apiTest.ApiTest","apiTest.ApiTest","readAsMap","readAsMap",""
"broken","Tue Dec 30 18:45:44 UTC 2025","Tue Dec 30 18:45:44 UTC 2025","5","API Test Suite","Rest Assured Tests","apiTest.ApiTest","apiTest.ApiTest","readListOfFieldFromMultipleProducts","readListOfFieldFromMultipleProducts",""
"broken","Tue Dec 30 18:45:44 UTC 2025","Tue Dec 30 18:45:44 UTC 2025","4","API Test Suite","Rest Assured Tests","apiTest.ApiTest","apiTest.ApiTest","readAllProducts","readAllProducts",""
"broken","Tue Dec 30 18:45:44 UTC 2025","Tue Dec 30 18:45:44 UTC 2025","5","API Test Suite","Rest Assured Tests","apiTest.ApiTest","apiTest.ApiTest","readAsPojo","readAsPojo",""
"passed","Sun Dec 28 19:29:03 UTC 2025","Sun Dec 28 19:29:19 UTC 2025","15555","Default Suite","TestNGTest-559d8142-0861-4f74-94c1-edbbc1f6e4b5","apiTest.lsr","apiTest.lsr","testGetLsrReport","testGetLsrReport",""
"passed","Tue Dec 30 14:02:47 UTC 2025","Tue Dec 30 14:02:51 UTC 2025","3891","Default Suite","TestNGTest-65b46f48-acd0-40ff-869f-8e1628678260","apiTest.GetOrgStudent","apiTest.GetOrgStudent","GetAllOrgStudent","GetAllOrgStudent",""
"broken","Tue Dec 30 18:45:44 UTC 2025","Tue Dec 30 18:45:44 UTC 2025","31","API Test Suite","Rest Assured Tests","apiTest.ApiTest","apiTest.ApiTest","method2_UsingJsonPath","method2_UsingJsonPath",""
"passed","Tue Dec 30 14:01:36 UTC 2025","Tue Dec 30 14:01:40 UTC 2025","3453","Default Suite","TestNGTest-3e244e46-0978-49f1-8f6b-b713ac6faa81","apiTest.GetGroups","apiTest.GetGroups","getAllGroups","getAllGroups",""
"passed","Tue Dec 30 18:45:44 UTC 2025","Tue Dec 30 18:45:45 UTC 2025","1579","API Test Suite","Rest Assured Tests","apiTest.AssignmentsDetailTest","apiTest.AssignmentsDetailTest","testMasteryPerformanceDetails","testMasteryPerformanceDetails","Verify assigned assignments API returns 200"
"passed","Tue Dec 30 18:45:45 UTC 2025","Tue Dec 30 18:45:47 UTC 2025","1418","API Test Suite","Rest Assured Tests","apiTest.GetGroupsTest","apiTest.GetGroupsTest","getAllGroups","getAllGroups",""
"passed","Tue Dec 30 17:00:46 UTC 2025","Tue Dec 30 17:01:01 UTC 2025","14873","Default Suite","TestNGTest-b8d1f93c-4e2d-4aba-a8de-16038f4843d1","apiTest.lsrReport","apiTest.lsrReport","testGetLsrReport","testGetLsrReport",""
"passed","Tue Dec 30 17:36:11 UTC 2025","Tue Dec 30 17:36:14 UTC 2025","2981","Default Suite","TestNGTest-fae72b17-01be-43b7-bbf9-aea196195f78","apiTest.AssignmentsDetail","apiTest.AssignmentsDetail","testMasteryPerformanceDetails","testMasteryPerformanceDetails","Verify assigned assignments API returns 200"
"passed","Tue Dec 30 18:45:48 UTC 2025","Tue Dec 30 18:45:50 UTC 2025","1612","API Test Suite","Rest Assured Tests","apiTest.GET_ASSIGNED_ASSIGNMENTSTest","apiTest.GET_ASSIGNED_ASSIGNMENTSTest","getAssignedAssignment","getAssignedAssignment",""
"passed","Tue Dec 30 17:04:11 UTC 2025","Tue Dec 30 17:04:13 UTC 2025","2452","Default Suite","TestNGTest-a807dcd6-5c61-429e-a501-45921eea767f","apiTest.GET_USAGEREPORTS","apiTest.GET_USAGEREPORTS","getAssignedAssignment","getAssignedAssignment",""
"broken","Tue Dec 30 18:45:44 UTC 2025","Tue Dec 30 18:45:44 UTC 2025","8","API Test Suite","Rest Assured Tests","apiTest.ApiTest","apiTest.ApiTest","method4_UsingAsString","method4_UsingAsString",""
